Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,1µF,C377070
C3,1206,1,10nF,C880613
"C4, C6, C7, C8",1206,4,100nF,C24497
C5,1206,1,22µF,C6119965
D1,1206,1,1N5819,C82544
F1,1206,1,PPTC 6A,C19078718
J1,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,Batt_Conn,C20415871
LED1,1206,1,STDBY,C965825
LED10,1206,1,NAND_B,C400035
LED11,1206,1,NOT_Q_LED,C400035
LED12,1206,1,AND_Q_LED,C400035
LED13,1206,1,NAND_Q_LED,C400035
LED14,1206,1,NOR_Q_LED,C400035
LED15,1206,1,OR_Q_LED,C400035
LED16,1206,1,XNOR_Q_LED,C400035
LED17,1206,1,XOR_Q_LED,C400035
LED18,1206,1,XOR_A_LED,C400035
LED19,1206,1,XOR_B_LED,C400035
LED2,1206,1,CHRG,C965822
LED20,1206,1,XNOR_A_LED,C400035
LED21,1206,1,XNOR_B_LED,C400035
LED22,1206,1,NOT_LED,C400035
LED23,1206,1,OR_A_LED,C400035
LED24,1206,1,OR_B_LED,C400035
LED25,1206,1,NOR_A_LED,C400035
LED26,1206,1,NOR_B_LED,C400035
LED7,1206,1,AND_A,C400035
LED8,1206,1,AND_B,C400035
LED9,1206,1,NAND_A,C400035
Q1,SOT-23,1,AO3401,C727156
"R1, R2",1206,2,5.1K,C2933721
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R7, R8, R9",1206,20,220,C2933642
R3,1206,1,1K,C2907372
R4,1206,1,10K,C17902
R5,1206,1,2.2K,C2930413
R6,1206,1,100,C2907369
SW1,SW-TH_SS-12D11G5R,1,SWITCH POWER,C388633
"SW_AND_A1, SW_AND_B1, SW_NAND_A1, SW_NAND_B1, SW_NOR_A1, SW_NOR_B1, SW_NOT1, SW_OR_A1, SW_OR_B1, SW_XNOR_A1, SW_XNOR_B1, SW_XOR_A1, SW_XOR_B1",SW-TH_SS-12D10L5,13,SW_SPDT,C42391667
TP1,TestPoint_Pad_2.0x2.0mm,1,TestPoint,
U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,TP4057,C20199358
U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,XB5353A,C80628
U3,SOT-23-5,1,SPX3819M5-L-3-3,C9055
U4,PDIP-14_L19.3-W6.4-P2.54-LS7.6-BL,1,CD4093BE,C18723490
U5,PDIP-14_L19.3-W6.4-P2.54-LS7.6-BL,1,CD4070BE,C910851
U6,PDIP-20_L25.9-W6.6-P2.54-LS7.9-BL,1,74HC240N(XBLW),C18724386
USBC1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
